TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
wgsim-transcriptome-pe100-size16384	0.99	0.05	0.93	13920	0	929	1	34
dwgsim-transcriptome-pe100-size16384	2.63	0.25	2.37	12160	0	99168	1	425
art_original-transcriptome-pe100-size16384	6.43	0.77	5.65	10184	0	905	1	357
art_modern-transcriptome-pe100-size16384	0.32	0.19	1.27	150144	0	35966	4278	74
art_modern_gcc-transcriptome-pe100-size16384	0.49	0.17	2.15	119920	0	32412	4723	63
wgsim-transcriptome-pe100-size65536	3.91	0.24	3.66	14080	0	930	1	117
dwgsim-transcriptome-pe100-size65536	10.46	0.99	9.45	12320	0	394079	1	2074
art_original-transcriptome-pe100-size65536	25.53	3.06	22.46	12108	0	1866	3	354
art_modern-transcriptome-pe100-size65536	1.03	0.51	5.06	252244	0	63037	14153	114
art_modern_gcc-transcriptome-pe100-size65536	1.54	0.52	8.28	226676	0	59721	17544	77
wgsim-transcriptome-pe100-size262144	15.59	1.00	14.58	13920	0	929	1	95
dwgsim-transcriptome-pe100-size262144	41.54	3.85	37.62	11840	0	1573728	6	8503
art_original-transcriptome-pe100-size262144	102.32	11.88	90.42	24392	0	6468	9	766
art_modern-transcriptome-pe100-size262144	3.87	1.83	20.58	687392	0	176268	59164	442
art_modern_gcc-transcriptome-pe100-size262144	6.69	1.72	36.13	664120	0	172906	83247	945
wgsim-genome-pe300-size1048576	0.06	0.00	0.05	18404	0	2467	1	3
pirs-genome-pe300-size1048576	0.06	0.01	0.27	16796	0	2670	1169	28
dwgsim-genome-pe300-size1048576	0.16	0.01	0.14	28960	0	5217	1	6
art_original-genome-pe300-size1048576	0.39	0.01	0.37	12620	0	1924	1	32
art_modern-genome-pe300-size1048576	0.14	0.09	0.17	116860	0	26295	660	79
art_modern_gcc-genome-pe300-size1048576	0.12	0.03	0.21	98456	0	24455	598	20
wgsim-genome-pe300-size4194304	0.22	0.02	0.19	33736	0	7077	1	30
pirs-genome-pe300-size4194304	0.21	0.05	1.19	19460	0	4215	4432	50
dwgsim-genome-pe300-size4194304	0.60	0.03	0.57	80960	0	18272	1	28
art_original-genome-pe300-size4194304	1.48	0.08	1.39	22064	0	5767	1	21
art_modern-genome-pe300-size4194304	0.17	0.09	0.38	120156	0	27794	1206	77
art_modern_gcc-genome-pe300-size4194304	0.19	0.05	0.57	101384	0	26016	1660	45
wgsim-genome-pe300-size16777216	0.88	0.08	0.80	95136	0	25508	1	30
pirs-genome-pe300-size16777216	0.54	0.18	3.36	31848	0	10364	17992	94
dwgsim-genome-pe300-size16777216	2.34	0.12	2.22	289760	0	70497	1	35
art_original-genome-pe300-size16777216	5.93	0.33	5.60	58548	0	21128	1	63
art_modern-genome-pe300-size16777216	0.32	0.18	1.27	132304	0	33955	2887	78
art_modern_gcc-genome-pe300-size16777216	0.45	0.09	2.10	114060	0	32087	5311	23
wgsim-genome-pe300-size67108864	3.34	0.30	3.04	341060	0	99287	1	7
pirs-genome-pe300-size67108864	2.13	0.60	13.48	81224	0	34940	72152	148
dwgsim-genome-pe300-size67108864	9.32	0.53	8.79	1125600	0	279395	2	79
art_original-genome-pe300-size67108864	23.63	1.27	22.35	140648	0	82575	1	103
art_modern-genome-pe300-size67108864	1.10	0.41	5.06	186568	0	58671	20147	121
art_modern_gcc-genome-pe300-size67108864	1.46	0.37	8.13	162448	0	56526	15707	129
wgsim-genome-pe300-size268435456	13.43	1.17	12.26	1323840	0	394199	1	87
